post_id,content,comment_ids,label_from_content
227,💥📱APPLE VỪA TRÌNH LÀNG IOS 26 VỚI MỘT GIAO DIỆN HOÀN TOÀN MỚI: LIQUID GLASS TRONG SUỐT,"post_227_cmt_1,post_227_cmt_2,post_227_cmt_3,post_227_cmt_4,post_227_cmt_5,post_227_cmt_6,post_227_cmt_7,post_227_cmt_8,post_227_cmt_9,post_227_cmt_10,post_227_cmt_11,post_227_cmt_12,post_227_cmt_13,post_227_cmt_14,post_227_cmt_15,post_227_cmt_16,post_227_cmt_17,post_227_cmt_18,post_227_cmt_19,post_227_cmt_20,post_227_cmt_21,post_227_cmt_22,post_227_cmt_23,post_227_cmt_24,post_227_cmt_25,post_227_cmt_26,post_227_cmt_27,post_227_cmt_28,post_227_cmt_29,post_227_cmt_30,post_227_cmt_31,post_227_cmt_32,post_227_cmt_33,post_227_cmt_34,post_227_cmt_35,post_227_cmt_36,post_227_cmt_37,post_227_cmt_38,post_227_cmt_39,post_227_cmt_40,post_227_cmt_41,post_227_cmt_42,post_227_cmt_43,post_227_cmt_44,post_227_cmt_45,post_227_cmt_46,post_227_cmt_47,post_227_cmt_48,post_227_cmt_49,post_227_cmt_50",Tin tức xã hội
228,Thấy hoa hậu Tiểu Vy nhặt điện thoại lên chuẩn bị tiểu phẩm âm nhạc là nghi nghi rồi ☺️  Video: Trần Tiểu Vy,"post_228_cmt_1,post_228_cmt_2,post_228_cmt_3,post_228_cmt_4,post_228_cmt_5,post_228_cmt_6,post_228_cmt_7,post_228_cmt_8,post_228_cmt_9,post_228_cmt_10,post_228_cmt_11,post_228_cmt_12,post_228_cmt_13,post_228_cmt_14,post_228_cmt_15,post_228_cmt_16,post_228_cmt_17,post_228_cmt_18,post_228_cmt_19,post_228_cmt_20",Tin tức xã hội
229,"Có thể bạn vẫn nhớ: 'Tình Yêu Ngủ Quên' - một trong những bản hit của Hoàng Tôn còn có sự kết hợp với một giọng nữ. Và không ai khác, giọng nữ đó chính là Em Xinh LyHan - một trong những gương mặt đang được chú ý của chương trình Em Xinh Say Hi gần đây.  Tình Yêu Ngủ Quên - Hoàng Tôn x LyHan, phiên bản remix trong mixset Đổi Nhạc Nền Vol.3 của Machiot.","post_229_cmt_1,post_229_cmt_2,post_229_cmt_3,post_229_cmt_4,post_229_cmt_5,post_229_cmt_6,post_229_cmt_7,post_229_cmt_8",Tin tức xã hội
230,"Card bo góc ""cho fan đời đầu"" của Bi Béo đã đến tay Bùi Công Nam rồi =))))  Video: baotram150","post_230_cmt_1,post_230_cmt_2,post_230_cmt_3,post_230_cmt_4,post_230_cmt_5,post_230_cmt_6,post_230_cmt_7,post_230_cmt_8,post_230_cmt_9,post_230_cmt_10,post_230_cmt_11,post_230_cmt_12,post_230_cmt_13,post_230_cmt_14,post_230_cmt_15,post_230_cmt_16,post_230_cmt_17,post_230_cmt_18,post_230_cmt_19,post_230_cmt_20,post_230_cmt_21,post_230_cmt_22,post_230_cmt_23,post_230_cmt_24,post_230_cmt_25,post_230_cmt_26,post_230_cmt_27,post_230_cmt_28,post_230_cmt_29,post_230_cmt_30,post_230_cmt_31,post_230_cmt_32,post_230_cmt_33,post_230_cmt_34,post_230_cmt_35,post_230_cmt_36,post_230_cmt_37,post_230_cmt_38,post_230_cmt_39,post_230_cmt_40,post_230_cmt_41,post_230_cmt_42,post_230_cmt_43,post_230_cmt_44,post_230_cmt_45,post_230_cmt_46,post_230_cmt_47,post_230_cmt_48,post_230_cmt_49,post_230_cmt_50",Tin tức xã hội
231,"Em Xinh Phương Ly vào vai nữ chính trong MV trở lại của JustaTee 🥵🔥  Đã Phương Ly nữ chính mà còn thêm Jessica Thanh Tú lần này còn ""hướng ngoại"" tham gia đóng MV nữa thì... 20h ngày 10.06.2025 trên kênh YouTube chính thức của JustaTee! Lần này hẹn đúng ngày giờ chứ không","post_231_cmt_1,post_231_cmt_2,post_231_cmt_4,post_231_cmt_5,post_231_cmt_7,post_231_cmt_8,post_231_cmt_9,post_231_cmt_10,post_231_cmt_11,post_231_cmt_12,post_231_cmt_13",Tin tức xã hội
232,"“Có những tình bạn thay đổi cả một thế giới. Và có những mối quan hệ khiến ta đủ can đảm để trở thành phiên bản tốt nhất của chính mình.”  Hơn cả một bộ phim về rồng và những pha hành động mãn nhãn, Bí Kíp Luyện Rồng bản live-action là hành trình chữa lành nơi chúng ta bắt gặp tình bạn chân thành giữa Hiccup và Răng Sún và niềm tin vào bản thân khi ta cảm thấy mình “khác biệt”.  Bộ phim mang lại những giá trị quen thuộc nhưng chưa bao giờ cũ: tình bạn có thể đến từ những điều tưởng chừng không thể hòa hợp, tình thân đôi khi cần thời gian và dũng khí để thấu hiểu, và lòng can đảm không phải là không sợ mà là dám bước tiếp dù vẫn còn sợ.  Phiên bản live-action của Bí Kíp Luyện Rồng sẽ mang đến trải nghiệm cảm xúc sâu sắc và trưởng thành hơn, đồng thời giữ nguyên sự kỳ diệu đã chinh phục trái tim khán giả suốt nhiều năm qua.  BÍ KÍP LUYỆN RỒNG có suất chiếu sớm tại các rạp từ ngày 12.06 và chính thức khởi chiếu từ 13.06 nha","post_232_cmt_1,post_232_cmt_2,post_232_cmt_3",Phim ảnh
233,"BTS V & SONG KANG KHOE ẢNH ĐI TẬP GYM, CHỤP HÌNH PHOTOBOTH CÙNG NHAU 🥵🔥","post_233_cmt_1,post_233_cmt_2,post_233_cmt_3,post_233_cmt_4,post_233_cmt_5,post_233_cmt_6,post_233_cmt_7,post_233_cmt_8,post_233_cmt_9,post_233_cmt_10,post_233_cmt_11,post_233_cmt_12,post_233_cmt_13,post_233_cmt_14,post_233_cmt_15,post_233_cmt_16,post_233_cmt_17,post_233_cmt_18,post_233_cmt_19,post_233_cmt_20,post_233_cmt_21,post_233_cmt_22,post_233_cmt_23,post_233_cmt_24,post_233_cmt_25,post_233_cmt_26,post_233_cmt_27,post_233_cmt_28,post_233_cmt_29,post_233_cmt_30,post_233_cmt_31,post_233_cmt_32,post_233_cmt_33,post_233_cmt_34,post_233_cmt_35,post_233_cmt_36,post_233_cmt_37,post_233_cmt_38,post_233_cmt_39,post_233_cmt_40,post_233_cmt_41,post_233_cmt_42,post_233_cmt_43,post_233_cmt_44,post_233_cmt_45,post_233_cmt_46,post_233_cmt_47,post_233_cmt_48,post_233_cmt_49,post_233_cmt_50",Tin tức xã hội
234,Giải cíu bài 'Trình' 🥲  Video: Quang Tuấn,"post_234_cmt_1,post_234_cmt_2,post_234_cmt_3,post_234_cmt_4,post_234_cmt_5,post_234_cmt_6,post_234_cmt_7,post_234_cmt_8,post_234_cmt_9,post_234_cmt_10,post_234_cmt_11,post_234_cmt_12,post_234_cmt_13,post_234_cmt_14,post_234_cmt_15,post_234_cmt_16,post_234_cmt_17,post_234_cmt_18,post_234_cmt_19,post_234_cmt_20,post_234_cmt_21,post_234_cmt_22,post_234_cmt_23,post_234_cmt_24,post_234_cmt_25,post_234_cmt_26,post_234_cmt_27,post_234_cmt_28,post_234_cmt_29,post_234_cmt_30,post_234_cmt_31,post_234_cmt_32,post_234_cmt_33,post_234_cmt_34,post_234_cmt_35,post_234_cmt_36,post_234_cmt_37,post_234_cmt_38,post_234_cmt_39,post_234_cmt_40,post_234_cmt_41,post_234_cmt_42,post_234_cmt_43,post_234_cmt_44,post_234_cmt_45,post_234_cmt_46,post_234_cmt_47,post_234_cmt_48,post_234_cmt_49,post_234_cmt_50",Âm nhạc
235,"Đêm qua, Justin Bieber bất ngờ đăng tải hai tấm ảnh trắng đen cùng dòng stt: ""Mệt mỏi với những mối quan hệ đổi chác, nếu tôi phải làm điều gì đó để đổi lấy những yêu thương, thì đó không còn là tình yêu nữa.""","post_235_cmt_1,post_235_cmt_2,post_235_cmt_3,post_235_cmt_4,post_235_cmt_5,post_235_cmt_6,post_235_cmt_7,post_235_cmt_8,post_235_cmt_9,post_235_cmt_10,post_235_cmt_11,post_235_cmt_12,post_235_cmt_13,post_235_cmt_14,post_235_cmt_15,post_235_cmt_16,post_235_cmt_17,post_235_cmt_18,post_235_cmt_19,post_235_cmt_20,post_235_cmt_21,post_235_cmt_22,post_235_cmt_23,post_235_cmt_24,post_235_cmt_25,post_235_cmt_26,post_235_cmt_27,post_235_cmt_28,post_235_cmt_29,post_235_cmt_30,post_235_cmt_31,post_235_cmt_32,post_235_cmt_33,post_235_cmt_34,post_235_cmt_35,post_235_cmt_36,post_235_cmt_37,post_235_cmt_38,post_235_cmt_39,post_235_cmt_40,post_235_cmt_41,post_235_cmt_42,post_235_cmt_43,post_235_cmt_44,post_235_cmt_45,post_235_cmt_46,post_235_cmt_47,post_235_cmt_48,post_235_cmt_49,post_235_cmt_50",Tin tức xã hội
236,NHỮNG MÀN TRÌNH DIỄN ẤN TƯỢNG CỦA LAMOON QUA 2 TẬP PHÁT SÓNG 'EM XINH SAY HI',"post_236_cmt_1,post_236_cmt_2,post_236_cmt_3,post_236_cmt_4,post_236_cmt_5,post_236_cmt_6,post_236_cmt_7,post_236_cmt_8,post_236_cmt_9,post_236_cmt_10,post_236_cmt_11,post_236_cmt_12,post_236_cmt_13,post_236_cmt_14,post_236_cmt_15,post_236_cmt_16,post_236_cmt_17,post_236_cmt_18,post_236_cmt_19,post_236_cmt_20,post_236_cmt_21,post_236_cmt_22,post_236_cmt_23,post_236_cmt_24,post_236_cmt_25,post_236_cmt_26,post_236_cmt_27,post_236_cmt_28,post_236_cmt_29,post_236_cmt_30,post_236_cmt_31,post_236_cmt_32,post_236_cmt_33,post_236_cmt_34,post_236_cmt_35,post_236_cmt_36,post_236_cmt_37,post_236_cmt_38,post_236_cmt_39,post_236_cmt_40,post_236_cmt_41,post_236_cmt_42,post_236_cmt_43,post_236_cmt_44,post_236_cmt_45,post_236_cmt_46,post_236_cmt_47,post_236_cmt_48,post_236_cmt_49,post_236_cmt_50",Chương trình giải trí
237,"Ma Không Đầu sở hữu boyband tìm đầu Tiến Luật - Ngô Kiến Huy - Đại Nghĩa ra rạp THÁNG 6 NÀY. Đã phim kinh dị mà còn hài hước, chuẩn bị tinh thần cười mệt nghỉ nha 😤😂  Ma Không Đầu | dự kiến khởi chiếu: 27.06.2025 cả nhà nhé.  #MaKhongDau","post_237_cmt_1,post_237_cmt_2,post_237_cmt_3,post_237_cmt_4,post_237_cmt_5,post_237_cmt_6,post_237_cmt_7,post_237_cmt_8,post_237_cmt_9,post_237_cmt_10,post_237_cmt_11,post_237_cmt_12,post_237_cmt_13,post_237_cmt_14,post_237_cmt_15,post_237_cmt_16,post_237_cmt_17,post_237_cmt_18,post_237_cmt_19,post_237_cmt_20,post_237_cmt_21,post_237_cmt_22,post_237_cmt_23,post_237_cmt_24,post_237_cmt_25,post_237_cmt_26,post_237_cmt_27,post_237_cmt_28,post_237_cmt_29,post_237_cmt_30,post_237_cmt_31,post_237_cmt_32,post_237_cmt_33,post_237_cmt_34,post_237_cmt_35,post_237_cmt_36,post_237_cmt_37,post_237_cmt_38,post_237_cmt_39,post_237_cmt_40,post_237_cmt_41,post_237_cmt_42,post_237_cmt_43,post_237_cmt_44,post_237_cmt_45,post_237_cmt_46,post_237_cmt_47,post_237_cmt_48,post_237_cmt_49,post_237_cmt_50",Phim ảnh
238,"💥 BTS: THỜI GIAN CHỜ ĐỢI SẮP KẾT THÚC   Tòa nhà HYBE rực sáng với thông điệp ""WE ARE BACK"" – BTS đang chuẩn bị cho sự trở lại của mình! RM và V sẽ xuất ngũ vào ngày mai, với Jimin và Jungkook theo sát vào ngày kia. Suga sẽ là thành viên cuối cùng hoàn thành nghĩa vụ.","post_238_cmt_1,post_238_cmt_2,post_238_cmt_3,post_238_cmt_4,post_238_cmt_5,post_238_cmt_6,post_238_cmt_7,post_238_cmt_8,post_238_cmt_9,post_238_cmt_10,post_238_cmt_11,post_238_cmt_12,post_238_cmt_13,post_238_cmt_14,post_238_cmt_15,post_238_cmt_16,post_238_cmt_17,post_238_cmt_18,post_238_cmt_19,post_238_cmt_20,post_238_cmt_21,post_238_cmt_22,post_238_cmt_23,post_238_cmt_24,post_238_cmt_25,post_238_cmt_26,post_238_cmt_27,post_238_cmt_28,post_238_cmt_29,post_238_cmt_30,post_238_cmt_31,post_238_cmt_32,post_238_cmt_33,post_238_cmt_34,post_238_cmt_35,post_238_cmt_36,post_238_cmt_37,post_238_cmt_38,post_238_cmt_39,post_238_cmt_40,post_238_cmt_41,post_238_cmt_42,post_238_cmt_43,post_238_cmt_44,post_238_cmt_45,post_238_cmt_46,post_238_cmt_47,post_238_cmt_48,post_238_cmt_49,post_238_cmt_50",Âm nhạc
239,"💥CHẤN ĐỘNG ĐÊM KHUYA   Billie Eilish và Nat Wolff, bạn diễn trong MV ""Chihiro"" bắt gặp hôn nhau.","post_239_cmt_1,post_239_cmt_2,post_239_cmt_3,post_239_cmt_4,post_239_cmt_5,post_239_cmt_6,post_239_cmt_7,post_239_cmt_8,post_239_cmt_9,post_239_cmt_10,post_239_cmt_11,post_239_cmt_12,post_239_cmt_13,post_239_cmt_14,post_239_cmt_15,post_239_cmt_16,post_239_cmt_17,post_239_cmt_18,post_239_cmt_19,post_239_cmt_20,post_239_cmt_21,post_239_cmt_22,post_239_cmt_23,post_239_cmt_24,post_239_cmt_25,post_239_cmt_26,post_239_cmt_27,post_239_cmt_28,post_239_cmt_29,post_239_cmt_30,post_239_cmt_31,post_239_cmt_32,post_239_cmt_33,post_239_cmt_34,post_239_cmt_35,post_239_cmt_36,post_239_cmt_37,post_239_cmt_38,post_239_cmt_39,post_239_cmt_40,post_239_cmt_41,post_239_cmt_42,post_239_cmt_43,post_239_cmt_44,post_239_cmt_45,post_239_cmt_46,post_239_cmt_47,post_239_cmt_48,post_239_cmt_49,post_239_cmt_50",Âm nhạc
240,SOOBIN MANG 'TRỐNG CƠM' LÊN SÂN KHẤU CONCERT 'VINH QUANG CÔNG AN NHÂN DÂN VIỆT NAM' 🔥🇻🇳,"post_240_cmt_1,post_240_cmt_2,post_240_cmt_3,post_240_cmt_4,post_240_cmt_5,post_240_cmt_6,post_240_cmt_7,post_240_cmt_8,post_240_cmt_9,post_240_cmt_10,post_240_cmt_11,post_240_cmt_12,post_240_cmt_13,post_240_cmt_14,post_240_cmt_15,post_240_cmt_16,post_240_cmt_17,post_240_cmt_18,post_240_cmt_19,post_240_cmt_20,post_240_cmt_21,post_240_cmt_22,post_240_cmt_23,post_240_cmt_24,post_240_cmt_25,post_240_cmt_26,post_240_cmt_27,post_240_cmt_28,post_240_cmt_29,post_240_cmt_30,post_240_cmt_31,post_240_cmt_32,post_240_cmt_33,post_240_cmt_34,post_240_cmt_35,post_240_cmt_36,post_240_cmt_37,post_240_cmt_38,post_240_cmt_39,post_240_cmt_40,post_240_cmt_41,post_240_cmt_42,post_240_cmt_43,post_240_cmt_44,post_240_cmt_45,post_240_cmt_46,post_240_cmt_47,post_240_cmt_48,post_240_cmt_49,post_240_cmt_50",Âm nhạc
241,"SOOBIN HÁT ""TIẾN QUÂN CA"" CÙNG CÁC VỊ LÃNH ĐẠO VÀ HÀNG NGHÌN KHÁN GIẢ TẠI CONCERT 'VINH QUANG CAND VIỆT NAM' 🇻🇳🫡","post_241_cmt_1,post_241_cmt_2,post_241_cmt_3,post_241_cmt_4,post_241_cmt_5,post_241_cmt_6,post_241_cmt_7,post_241_cmt_8,post_241_cmt_9,post_241_cmt_10,post_241_cmt_11,post_241_cmt_12,post_241_cmt_13,post_241_cmt_14,post_241_cmt_15,post_241_cmt_16,post_241_cmt_17,post_241_cmt_18,post_241_cmt_19,post_241_cmt_20,post_241_cmt_21,post_241_cmt_22,post_241_cmt_23,post_241_cmt_24,post_241_cmt_25,post_241_cmt_26,post_241_cmt_27,post_241_cmt_28,post_241_cmt_29,post_241_cmt_30,post_241_cmt_31,post_241_cmt_32,post_241_cmt_33,post_241_cmt_34,post_241_cmt_35,post_241_cmt_36,post_241_cmt_37,post_241_cmt_38,post_241_cmt_39,post_241_cmt_40,post_241_cmt_41,post_241_cmt_42,post_241_cmt_43,post_241_cmt_44,post_241_cmt_45,post_241_cmt_46,post_241_cmt_47,post_241_cmt_48,post_241_cmt_49,post_241_cmt_50",Âm nhạc
242,"""Khi 22"" là ca khúc nằm trong album Đôi Chân Đi của Ricky Star, kết hợp cùng Blacka. Với chất rap đặc trưng và phần lời mang màu sắc tự sự, bài hát khắc họa hành trình trưởng thành của người trẻ ở ngưỡng tuổi 22 – nơi ước mơ, trách nhiệm và thử thách giao nhau.   ""Khi 22"", không chỉ nói về đam mê âm nhạc mà còn phản ánh cuộc sống thực tế, những lo toan thường nhật và khát vọng vươn lên.","post_242_cmt_1,post_242_cmt_2,post_242_cmt_3,post_242_cmt_5,post_242_cmt_6,post_242_cmt_7,post_242_cmt_8,post_242_cmt_9,post_242_cmt_10,post_242_cmt_11,post_242_cmt_12",Âm nhạc
243,"Ver rap của Liu Grace trong ca khúc Từng - ca khúc thuần Ballad duy nhất tại Live Stage 1.   Từng là phần trình diễn của đội Tấm Khiên (LyLy, Han Sara, Liu Grace, Lâm Bảo Ngọc, DANMY). Nhóm chọn concept ""chiều không gian thứ 3"", với sân khấu tông xanh - trắng để thể hiện bản ballad tình cảm. Đặc biệt, đoạn rap nhẹ nhàng khác với phong cách Hip Hop thường thấy của Em Xinh Liu Grace cũng khiến khán giả bất ngờ và thích thú.","post_243_cmt_1,post_243_cmt_2,post_243_cmt_3,post_243_cmt_4,post_243_cmt_5,post_243_cmt_6,post_243_cmt_7,post_243_cmt_8,post_243_cmt_9,post_243_cmt_10,post_243_cmt_11,post_243_cmt_12,post_243_cmt_13,post_243_cmt_14,post_243_cmt_15,post_243_cmt_16,post_243_cmt_17,post_243_cmt_18,post_243_cmt_19,post_243_cmt_20,post_243_cmt_21,post_243_cmt_22,post_243_cmt_23,post_243_cmt_24,post_243_cmt_25,post_243_cmt_26,post_243_cmt_27,post_243_cmt_28,post_243_cmt_29,post_243_cmt_30,post_243_cmt_31,post_243_cmt_32,post_243_cmt_33,post_243_cmt_34,post_243_cmt_35,post_243_cmt_36,post_243_cmt_37,post_243_cmt_38,post_243_cmt_39,post_243_cmt_40,post_243_cmt_41,post_243_cmt_42,post_243_cmt_43,post_243_cmt_44,post_243_cmt_45,post_243_cmt_46,post_243_cmt_47,post_243_cmt_48,post_243_cmt_49,post_243_cmt_50",Tin tức xã hội
244,"G-Dragon ngẫu hứng hát ""Ánh Trăng Nói Hộ Lòng Tôi"" cùng fan tại Macau 🌙","post_244_cmt_1,post_244_cmt_2,post_244_cmt_3,post_244_cmt_4,post_244_cmt_5,post_244_cmt_6,post_244_cmt_7,post_244_cmt_8,post_244_cmt_9,post_244_cmt_10,post_244_cmt_11,post_244_cmt_12,post_244_cmt_13,post_244_cmt_14,post_244_cmt_15,post_244_cmt_16,post_244_cmt_18,post_244_cmt_19",Tin tức xã hội
245,"Nếu Khắc Việt không ra bài hát Nguyện làm - comeback sau 5 năm vắng bóng, chắc nhiều khán giả tưởng ổng chuyển qua mảng diễn viên hài rồi. Ảnh tấu hề cỡ này cơ mà! 🤪  (Tập 10 - Mẹ vắng nhà Ba là siêu nhân 2025)  #mevangnhabalasieunhan2025 #KhacViet","post_245_cmt_1,post_245_cmt_2,post_245_cmt_3,post_245_cmt_4,post_245_cmt_5",Tin tức xã hội
246,"Chìa khoá  HAUS Private Club -  tấm vé thông hành dẫn lối vào một thế giới, nơi mọi đặc quyền không thể định giá bằng tiền.   Đó là thế giới - nơi gặp gỡ của những tỷ phú, hoàng gia và giới siêu giàu toàn cầu; mọi trải nghiệm, dịch vụ đều được thiết kế “đo ni đóng giày”, độc nhất và dành cho số ít; không phô trương, chỉ dành cho những người có cùng tầm nhìn và vị thế. Và vì vậy chiếc chìa khoá để unlock thế giới này chỉ được trao cho những người thực sự xứng tầm. Bạn đã có trong tay chiếc chìa khoá này chưa?  HAUS PRIVATE CLUB Thế giới của riêng bạn  #ForTheOnesWhoKnow","post_246_cmt_1,post_246_cmt_2",Tin tức xã hội
247,"VƯƠNG BÌNH RA MẮT MV 'THUA NGƯỜI TA'.  Vương Bình vừa ra mắt MV ""Thua Người Ta"", bài hát tự sự về áp lực tình yêu và sự nghiệp của người trẻ. Ca khúc thể hiện sự tự ti khi không thể lo cho người yêu một cuộc sống đủ đầy, đồng thời mong các bạn gái thấu hiểu.   MV kể về chàng trai chạy xe công nghệ đối mặt khó khăn, nhưng vẫn kiên cường. Âm nhạc kết hợp Pop R&B, chất liệu truyền thống và drill hiện đại, thể hiện định hướng phát triển lâu dài của Vương Bình.","post_247_cmt_1,post_247_cmt_2",Tin tức xã hội
248,"💫 “Đường Về Ocean City” – Da LAB đổ bộ, nghe phát là muốn “Vibe” Ocean!","post_248_cmt_1,post_248_cmt_2",Tin tức xã hội
249,"Cập nhật tình hình ngay lúc này tại concert “Vinh quang Công an nhân dân Việt Nam” 🇻🇳  Ảnh: Hóng Sài Gòn, Ở Đâu Cũng Chụp.","post_249_cmt_1,post_249_cmt_2,post_249_cmt_3,post_249_cmt_4,post_249_cmt_5,post_249_cmt_6,post_249_cmt_7",Tin tức xã hội
250,"“CHIẾN SĨ QUẢ CẢM” TUNG FIRST LOOK ‘TUYỆT ĐỐI ĐIỆN ẢNH’  Chương trình truyền hình thực tế nhập vai đầu tiên về lực lượng Công an Nhân dân Việt Nam, ""Chiến Sĩ Quả Cảm"", vừa hé lộ First Look.  Trong chương trình, 12 nghệ sĩ sẽ dấn thân vào vai trò đặc biệt: những chiến sĩ Phòng cháy chữa cháy. Họ sẽ trải nghiệm kỷ luật thép, gánh vác trách nhiệm cao cả và đối mặt với những thử thách đầy cam go, khắc nghiệt.","post_250_cmt_1,post_250_cmt_2",Tin tức xã hội
251,Phương Mỹ Chi thể hiện một đoạn vọng cổ ngay trên sân khấu để kêu gọi khán giả bình chọn sau màn trình diễn của nhóm.  (Em Xinh 'Say Hi' - Tập 2),"post_251_cmt_1,post_251_cmt_2",Tin tức xã hội
252,"Cute thế thôi hẹ hẹ 😁 Thay vì được gọi là Em Xinh như mọi người thì Tiên Tiên được ưu ái với danh xưng riêng là Em ""Bé"" Xinh trong chương trình Em Xinh Say Hi.","post_252_cmt_1,post_252_cmt_2,post_252_cmt_3,post_252_cmt_4,post_252_cmt_5",Tin tức xã hội
253,"VOỌC MÔNG TRẮNG - BIỂU TƯỢNG ẤN TƯỢNG VÀ ĐẶC BIỆT NHẤT CỦA SÂN KHẤU “FORESTIVAL” 2025!  Tại Lễ hội Âm nhạc và Sáng tạo Tràng An “FORESTIVAL” 2025, hình ảnh khổng lồ của Voọc mông trắng - loài linh trưởng quý hiếm, biểu tượng của vùng đất Ninh Bình được đạo diễn Cao Trung Hiếu và đội ngũ sáng tạo dàn dựng kỳ công, mang đến một thiết kế sân khấu đặc biệt và ý nghĩa.   Tác phẩm nhằm khắc họa vẻ đẹp độc nhất của loài vật đang được ưu tiên bảo tồn, đồng thời truyền tải tinh thần gắn kết giữa âm nhạc, thiên nhiên và các giá trị bền vững mà “FORESTIVAL” hướng đến.  Trong những khoảnh khắc cuối cùng của “FORESTIVAL” 2025, ca sĩ HÀ ANH TUẤN đã đại diện Ban Tổ chức và các nghệ sĩ tham gia chương trình gửi đến khán giả một thông điệp ý nghĩa:   Tất cả nghệ sĩ và hơn 20.000 khán giả tham gia “FORESTIVAL” 2025 sẽ cùng đóng góp 500 triệu đồng cho tổ chức Save Vietnam’s Wildlife, nhằm hỗ trợ công tác tái đàn và bảo tồn loài Voọc mông trắng ngay tại Ninh Bình.  Hy vọng rằng, từ sự chung tay của tất cả chúng ta, những cánh rừng và những cá thể động vật hoang dã quý hiếm như Voọc mông trắng sẽ tiếp tục được bảo vệ, để mãi hiện diện như một phần di sản sống động của Ninh Bình và Việt Nam.  Mời quý khán giả cùng nhìn ngắm những hình ảnh rực rỡ nhất của sân khấu “FORESTIVAL” 2025, nơi ghi dấu khoảnh khắc thăng hoa và ấn tượng của âm nhạc, nghệ thuật giữa lòng di sản Tràng An.  Ảnh: Đại Ngô team | Ficture Creative","post_253_cmt_1,post_253_cmt_2,post_253_cmt_3,post_253_cmt_4,post_253_cmt_5,post_253_cmt_6,post_253_cmt_7,post_253_cmt_8,post_253_cmt_9,post_253_cmt_10,post_253_cmt_11,post_253_cmt_12,post_253_cmt_13,post_253_cmt_14",Tin tức xã hội
254,❌ Đạt G - Cindy Lư kết hôn ✅ Giao dịch thành công 🥂,"post_254_cmt_1,post_254_cmt_2,post_254_cmt_3,post_254_cmt_4,post_254_cmt_5,post_254_cmt_6,post_254_cmt_7,post_254_cmt_8,post_254_cmt_9,post_254_cmt_10",Tin tức xã hội
255,"52Hz kể chuyện sát ngày cưới được 2 Em Xinh Châu Bùi & Tiên Tiên hối nhạc: ""Mọi người ơi, ngay ngày hôm sau chúng mình chưa kịp làm gì cả chúng mình đã ĐỘNG PHÒNG THU"" 😂","post_255_cmt_1,post_255_cmt_2,post_255_cmt_3,post_255_cmt_4,post_255_cmt_5,post_255_cmt_6,post_255_cmt_7,post_255_cmt_8",Tin tức xã hội
256,"Cầm Kỳ Thi Họa - tiết mục kết màn Live Stage 1 của đội Kim Cương (Bích Phương, Phương Mỹ Chi, Tiên Tiên, Lamoon, Bảo Anh).  Nhóm chọn concept kết hợp giữa yếu tố truyền thống Việt Nam và Futuristic, mang âm hưởng dân ca Bắc Bộ, kết hợp sự sôi động, trẻ trung của nhạc điện tử. Phần outro mang làn điệu của chèo, do Em Xinh Phương Mỹ Chi chắp bút. Em Xinh Lamoon cũng góp một đoạn nhỏ tự sáng tác, giai điệu được viết theo âm giai ngũ cung. Em Xinh Tiên Tiên kết màn ấn tượng với phân đoạn đánh trống.","post_256_cmt_1,post_256_cmt_2,post_256_cmt_3,post_256_cmt_4,post_256_cmt_5,post_256_cmt_6,post_256_cmt_7,post_256_cmt_8,post_256_cmt_9,post_256_cmt_10,post_256_cmt_11,post_256_cmt_12,post_256_cmt_13,post_256_cmt_14,post_256_cmt_15,post_256_cmt_16,post_256_cmt_17,post_256_cmt_18,post_256_cmt_19,post_256_cmt_20,post_256_cmt_21,post_256_cmt_22,post_256_cmt_23,post_256_cmt_24,post_256_cmt_25,post_256_cmt_26,post_256_cmt_27,post_256_cmt_28,post_256_cmt_29,post_256_cmt_30,post_256_cmt_31,post_256_cmt_32,post_256_cmt_33,post_256_cmt_34,post_256_cmt_35,post_256_cmt_36",Tin tức xã hội
